"Item","Group","Subject","MatrixLeftPredicate","Condition","Color","altercolor","Buffy1","Buffy2","Actual1","Actual2","Sentence","Continuation"
1,1,"First","Thought","Good","green","red","green","red","green","green","Buffy thought that, when it was drawn, the ball was green","and she was right about it"
1,2,"First","Was","Good","green","red","green","green","green","red","when it was drawn, the ball was green","and Buffy was right about it"
1,3,"First","Thought","Fix","green","red","red","green","green","green","Buffy thought that, when it was drawn, the ball was green","and she was right about it"
1,4,"First","Was","Fix","green","red","green","green","red","green","when it was drawn, the ball was green","and Buffy was right about it"
1,5,"Second","Thought","Good","green","red","green","green","red","green","Buffy thought that, after the shake, the ball would be green","and she was right about it"
1,6,"Second","Was","Good","green","red","green","green","red","green","after the shake, the ball was green","and Buffy was right about it"
1,7,"Second","Thought","Fix","green","red","green","red","green","green","Buffy thought that, after the shake, the ball would be green","and she was right about it"
1,8,"Second","Was","Fix","green","red","green","green","green","red","after the shake, the ball was green","and Buffy was right about it"
1,9,"Again","Thought","Test-Ent","green","red","red","green","green","green","Buffy thought that, after the shake, the ball would be green again","and she was right about it"
1,10,"Again","Was","Good","green","red","red","green","green","green","after the shake, the ball was green again","and Buffy was right about it"
1,11,"Again","Thought","Test-Proj","green","red","green","green","red","green","Buffy thought that, after the shake, the ball would be green again","and she was right about it"
1,12,"Again","Was","Fix","green","red","green","green","red","green","after the shake, the ball was green again","and Buffy was right about it"
2,2,"First","Thought","Good","yellow","pink","yellow","pink","yellow","yellow","Buffy thought that, when it was drawn, the ball was yellow","and she was right about it"
2,3,"First","Was","Good","yellow","pink","yellow","yellow","yellow","pink","when it was drawn, the ball was yellow","and Buffy was right about it"
2,4,"First","Thought","Fix","yellow","pink","pink","yellow","yellow","yellow","Buffy thought that, when it was drawn, the ball was yellow","and she was right about it"
2,5,"First","Was","Fix","yellow","pink","yellow","yellow","pink","yellow","when it was drawn, the ball was yellow","and Buffy was right about it"
2,6,"Second","Thought","Good","yellow","pink","yellow","yellow","pink","yellow","Buffy thought that, after the shake, the ball would be yellow","and she was right about it"
2,7,"Second","Was","Good","yellow","pink","yellow","yellow","pink","yellow","after the shake, the ball was yellow","and Buffy was right about it"
2,8,"Second","Thought","Fix","yellow","pink","yellow","pink","yellow","yellow","Buffy thought that, after the shake, the ball would be yellow","and she was right about it"
2,9,"Second","Was","Fix","yellow","pink","yellow","yellow","yellow","pink","after the shake, the ball was yellow","and Buffy was right about it"
2,10,"Again","Thought","Test-Ent","yellow","pink","pink","yellow","yellow","yellow","Buffy thought that, after the shake, the ball would be yellow again","and she was right about it"
2,11,"Again","Was","Good","yellow","pink","pink","yellow","yellow","yellow","after the shake, the ball was yellow again","and Buffy was right about it"
2,12,"Again","Thought","Test-Proj","yellow","pink","yellow","yellow","pink","yellow","Buffy thought that, after the shake, the ball would be yellow again","and she was right about it"
2,1,"Again","Was","Fix","yellow","pink","yellow","yellow","pink","yellow","after the shake, the ball was yellow again","and Buffy was right about it"
3,3,"First","Thought","Good","blue","orange","blue","orange","blue","blue","Buffy thought that, when it was drawn, the ball was blue","and she was right about it"
3,4,"First","Was","Good","blue","orange","blue","blue","blue","orange","when it was drawn, the ball was blue","and Buffy was right about it"
3,5,"First","Thought","Fix","blue","orange","orange","blue","blue","blue","Buffy thought that, when it was drawn, the ball was blue","and she was right about it"
3,6,"First","Was","Fix","blue","orange","blue","blue","orange","blue","when it was drawn, the ball was blue","and Buffy was right about it"
3,7,"Second","Thought","Good","blue","orange","blue","blue","orange","blue","Buffy thought that, after the shake, the ball would be blue","and she was right about it"
3,8,"Second","Was","Good","blue","orange","blue","blue","orange","blue","after the shake, the ball was blue","and Buffy was right about it"
3,9,"Second","Thought","Fix","blue","orange","blue","orange","blue","blue","Buffy thought that, after the shake, the ball would be blue","and she was right about it"
3,10,"Second","Was","Fix","blue","orange","blue","blue","blue","orange","after the shake, the ball was blue","and Buffy was right about it"
3,11,"Again","Thought","Test-Ent","blue","orange","orange","blue","blue","blue","Buffy thought that, after the shake, the ball would be blue again","and she was right about it"
3,12,"Again","Was","Good","blue","orange","orange","blue","blue","blue","after the shake, the ball was blue again","and Buffy was right about it"
3,1,"Again","Thought","Test-Proj","blue","orange","blue","blue","orange","blue","Buffy thought that, after the shake, the ball would be blue again","and she was right about it"
3,2,"Again","Was","Fix","blue","orange","blue","blue","orange","blue","after the shake, the ball was blue again","and Buffy was right about it"
4,4,"First","Thought","Good","purple","brown","purple","brown","purple","purple","Buffy thought that, when it was drawn, the ball was purple","and she was right about it"
4,5,"First","Was","Good","purple","brown","purple","purple","purple","brown","when it was drawn, the ball was purple","and Buffy was right about it"
4,6,"First","Thought","Fix","purple","brown","brown","purple","purple","purple","Buffy thought that, when it was drawn, the ball was purple","and she was right about it"
4,7,"First","Was","Fix","purple","brown","purple","purple","brown","purple","when it was drawn, the ball was purple","and Buffy was right about it"
4,8,"Second","Thought","Good","purple","brown","purple","purple","brown","purple","Buffy thought that, after the shake, the ball would be purple","and she was right about it"
4,9,"Second","Was","Good","purple","brown","purple","purple","brown","purple","after the shake, the ball was purple","and Buffy was right about it"
4,10,"Second","Thought","Fix","purple","brown","purple","brown","purple","purple","Buffy thought that, after the shake, the ball would be purple","and she was right about it"
4,11,"Second","Was","Fix","purple","brown","purple","purple","purple","brown","after the shake, the ball was purple","and Buffy was right about it"
4,12,"Again","Thought","Test-Ent","purple","brown","brown","purple","purple","purple","Buffy thought that, after the shake, the ball would be purple again","and she was right about it"
4,1,"Again","Was","Good","purple","brown","brown","purple","purple","purple","after the shake, the ball was purple again","and Buffy was right about it"
4,2,"Again","Thought","Test-Proj","purple","brown","purple","purple","brown","purple","Buffy thought that, after the shake, the ball would be purple again","and she was right about it"
4,3,"Again","Was","Fix","purple","brown","purple","purple","brown","purple","after the shake, the ball was purple again","and Buffy was right about it"
5,5,"First","Thought","Good","beige","violet","beige","violet","beige","beige","Buffy thought that, when it was drawn, the ball was beige","and she was right about it"
5,6,"First","Was","Good","beige","violet","beige","beige","beige","violet","when it was drawn, the ball was beige","and Buffy was right about it"
5,7,"First","Thought","Fix","beige","violet","violet","beige","beige","beige","Buffy thought that, when it was drawn, the ball was beige","and she was right about it"
5,8,"First","Was","Fix","beige","violet","beige","beige","violet","beige","when it was drawn, the ball was beige","and Buffy was right about it"
5,9,"Second","Thought","Good","beige","violet","beige","beige","violet","beige","Buffy thought that, after the shake, the ball would be beige","and she was right about it"
5,10,"Second","Was","Good","beige","violet","beige","beige","violet","beige","after the shake, the ball was beige","and Buffy was right about it"
5,11,"Second","Thought","Fix","beige","violet","beige","violet","beige","beige","Buffy thought that, after the shake, the ball would be beige","and she was right about it"
5,12,"Second","Was","Fix","beige","violet","beige","beige","beige","violet","after the shake, the ball was beige","and Buffy was right about it"
5,1,"Again","Thought","Test-Ent","beige","violet","violet","beige","beige","beige","Buffy thought that, after the shake, the ball would be beige again","and she was right about it"
5,2,"Again","Was","Good","beige","violet","violet","beige","beige","beige","after the shake, the ball was beige again","and Buffy was right about it"
5,3,"Again","Thought","Test-Proj","beige","violet","beige","beige","violet","beige","Buffy thought that, after the shake, the ball would be beige again","and she was right about it"
5,4,"Again","Was","Fix","beige","violet","beige","beige","violet","beige","after the shake, the ball was beige again","and Buffy was right about it"
6,6,"First","Thought","Good","cyan","gold","cyan","gold","cyan","cyan","Buffy thought that, when it was drawn, the ball was cyan","and she was right about it"
6,7,"First","Was","Good","cyan","gold","cyan","cyan","cyan","gold","when it was drawn, the ball was cyan","and Buffy was right about it"
6,8,"First","Thought","Fix","cyan","gold","gold","cyan","cyan","cyan","Buffy thought that, when it was drawn, the ball was cyan","and she was right about it"
6,9,"First","Was","Fix","cyan","gold","cyan","cyan","gold","cyan","when it was drawn, the ball was cyan","and Buffy was right about it"
6,10,"Second","Thought","Good","cyan","gold","cyan","cyan","gold","cyan","Buffy thought that, after the shake, the ball would be cyan","and she was right about it"
6,11,"Second","Was","Good","cyan","gold","cyan","cyan","gold","cyan","after the shake, the ball was cyan","and Buffy was right about it"
6,12,"Second","Thought","Fix","cyan","gold","cyan","gold","cyan","cyan","Buffy thought that, after the shake, the ball would be cyan","and she was right about it"
6,1,"Second","Was","Fix","cyan","gold","cyan","cyan","cyan","gold","after the shake, the ball was cyan","and Buffy was right about it"
6,2,"Again","Thought","Test-Ent","cyan","gold","gold","cyan","cyan","cyan","Buffy thought that, after the shake, the ball would be cyan again","and she was right about it"
6,3,"Again","Was","Good","cyan","gold","gold","cyan","cyan","cyan","after the shake, the ball was cyan again","and Buffy was right about it"
6,4,"Again","Thought","Test-Proj","cyan","gold","cyan","cyan","gold","cyan","Buffy thought that, after the shake, the ball would be cyan again","and she was right about it"
6,5,"Again","Was","Fix","cyan","gold","cyan","cyan","gold","cyan","after the shake, the ball was cyan again","and Buffy was right about it"
7,7,"First","Thought","Good","green","gold","green","gold","green","green","Buffy thought that, when it was drawn, the ball was green","and she was right about it"
7,8,"First","Was","Good","green","gold","green","green","green","gold","when it was drawn, the ball was green","and Buffy was right about it"
7,9,"First","Thought","Fix","green","gold","gold","green","green","green","Buffy thought that, when it was drawn, the ball was green","and she was right about it"
7,10,"First","Was","Fix","green","gold","green","green","gold","green","when it was drawn, the ball was green","and Buffy was right about it"
7,11,"Second","Thought","Good","green","gold","green","green","gold","green","Buffy thought that, after the shake, the ball would be green","and she was right about it"
7,12,"Second","Was","Good","green","gold","green","green","gold","green","after the shake, the ball was green","and Buffy was right about it"
7,1,"Second","Thought","Fix","green","gold","green","gold","green","green","Buffy thought that, after the shake, the ball would be green","and she was right about it"
7,2,"Second","Was","Fix","green","gold","green","green","green","gold","after the shake, the ball was green","and Buffy was right about it"
7,3,"Again","Thought","Test-Ent","green","gold","gold","green","green","green","Buffy thought that, after the shake, the ball would be green again","and she was right about it"
7,4,"Again","Was","Good","green","gold","gold","green","green","green","after the shake, the ball was green again","and Buffy was right about it"
7,5,"Again","Thought","Test-Proj","green","gold","green","green","gold","green","Buffy thought that, after the shake, the ball would be green again","and she was right about it"
7,6,"Again","Was","Fix","green","gold","green","green","gold","green","after the shake, the ball was green again","and Buffy was right about it"
8,8,"First","Thought","Good","yellow","red","yellow","red","yellow","yellow","Buffy thought that, when it was drawn, the ball was yellow","and she was right about it"
8,9,"First","Was","Good","yellow","red","yellow","yellow","yellow","red","when it was drawn, the ball was yellow","and Buffy was right about it"
8,10,"First","Thought","Fix","yellow","red","red","yellow","yellow","yellow","Buffy thought that, when it was drawn, the ball was yellow","and she was right about it"
8,11,"First","Was","Fix","yellow","red","yellow","yellow","red","yellow","when it was drawn, the ball was yellow","and Buffy was right about it"
8,12,"Second","Thought","Good","yellow","red","yellow","yellow","red","yellow","Buffy thought that, after the shake, the ball would be yellow","and she was right about it"
8,1,"Second","Was","Good","yellow","red","yellow","yellow","red","yellow","after the shake, the ball was yellow","and Buffy was right about it"
8,2,"Second","Thought","Fix","yellow","red","yellow","red","yellow","yellow","Buffy thought that, after the shake, the ball would be yellow","and she was right about it"
8,3,"Second","Was","Fix","yellow","red","yellow","yellow","yellow","red","after the shake, the ball was yellow","and Buffy was right about it"
8,4,"Again","Thought","Test-Ent","yellow","red","red","yellow","yellow","yellow","Buffy thought that, after the shake, the ball would be yellow again","and she was right about it"
8,5,"Again","Was","Good","yellow","red","red","yellow","yellow","yellow","after the shake, the ball was yellow again","and Buffy was right about it"
8,6,"Again","Thought","Test-Proj","yellow","red","yellow","yellow","red","yellow","Buffy thought that, after the shake, the ball would be yellow again","and she was right about it"
8,7,"Again","Was","Fix","yellow","red","yellow","yellow","red","yellow","after the shake, the ball was yellow again","and Buffy was right about it"
9,9,"First","Thought","Good","blue","pink","blue","pink","blue","blue","Buffy thought that, when it was drawn, the ball was blue","and she was right about it"
9,10,"First","Was","Good","blue","pink","blue","blue","blue","pink","when it was drawn, the ball was blue","and Buffy was right about it"
9,11,"First","Thought","Fix","blue","pink","pink","blue","blue","blue","Buffy thought that, when it was drawn, the ball was blue","and she was right about it"
9,12,"First","Was","Fix","blue","pink","blue","blue","pink","blue","when it was drawn, the ball was blue","and Buffy was right about it"
9,1,"Second","Thought","Good","blue","pink","blue","blue","pink","blue","Buffy thought that, after the shake, the ball would be blue","and she was right about it"
9,2,"Second","Was","Good","blue","pink","blue","blue","pink","blue","after the shake, the ball was blue","and Buffy was right about it"
9,3,"Second","Thought","Fix","blue","pink","blue","pink","blue","blue","Buffy thought that, after the shake, the ball would be blue","and she was right about it"
9,4,"Second","Was","Fix","blue","pink","blue","blue","blue","pink","after the shake, the ball was blue","and Buffy was right about it"
9,5,"Again","Thought","Test-Ent","blue","pink","pink","blue","blue","blue","Buffy thought that, after the shake, the ball would be blue again","and she was right about it"
9,6,"Again","Was","Good","blue","pink","pink","blue","blue","blue","after the shake, the ball was blue again","and Buffy was right about it"
9,7,"Again","Thought","Test-Proj","blue","pink","blue","blue","pink","blue","Buffy thought that, after the shake, the ball would be blue again","and she was right about it"
9,8,"Again","Was","Fix","blue","pink","blue","blue","pink","blue","after the shake, the ball was blue again","and Buffy was right about it"
10,10,"First","Thought","Good","purple","orange","purple","orange","purple","purple","Buffy thought that, when it was drawn, the ball was purple","and she was right about it"
10,11,"First","Was","Good","purple","orange","purple","purple","purple","orange","when it was drawn, the ball was purple","and Buffy was right about it"
10,12,"First","Thought","Fix","purple","orange","orange","purple","purple","purple","Buffy thought that, when it was drawn, the ball was purple","and she was right about it"
10,1,"First","Was","Fix","purple","orange","purple","purple","orange","purple","when it was drawn, the ball was purple","and Buffy was right about it"
10,2,"Second","Thought","Good","purple","orange","purple","purple","orange","purple","Buffy thought that, after the shake, the ball would be purple","and she was right about it"
